GeneID	nReads	ftype
BMP8A	79	exon
BMPER	116	exon
BMPR1A	99	exon
BMPR1B	88	exon
BMPR2	673	exon
BMS1	215	exon
BMT2	206	exon
BNC2	6	exon
BNIP1	268	exon
BNIP2	224	exon
BNIP3	1482	exon
BNIP3L	1898	exon
BNIPL	8	exon
BOC	44	exon
BOD1	197	exon
BOD1L1	4174	exon
BOK	103	exon
BOLA1	541	exon
BOLA2B	1709	exon
BOLA3	219	exon
BOP1	140	exon
BORA	57	exon
BORCS5	80	exon
BORCS6	271	exon
BORCS7	629	exon
BPGM	471	exon
BPHL	1823	exon
BPNT1	372	exon
BPNT2	743	exon
BPTF	1705	exon
BRAF	769	exon
BRAT1	63	exon
BRCA1	156	exon
BRCA2	238	exon
BRCC3	638	exon
BRD1	1317	exon
BRD2	496	exon
BRD3	320	exon
BRD4	2010	exon
BRD7	1410	exon
BRD8	369	exon
BRD9	730	exon
BRDT	14	exon
BRF1	612	exon
BRF2	97	exon
BRI3	577	exon
BRICD5	3	exon
BRINP1	1150	exon
BRINP2	54	exon
BRINP3	156	exon
BRIP1	39	exon
BRIX1	370	exon
BRK1	115	exon
BRME1	12	exon
BRMS1	153	exon
BRMS1L	921	exon
BROX	998	exon
BRPF1	34	exon
BRPF3	310	exon
BRSK1	761	exon
BRSK2	620	exon
BRWD1	1517	exon
BRWD3	218	exon
BSCL2	350	exon
BSDC1	74	exon
BSG	1913	exon
BSN	1838	exon
BTAF1	626	exon
BTBD1	1693	exon
BTBD10	577	exon
BTBD11	273	exon
BTBD17	31	exon
BTBD18	49	exon
BTBD19	111	exon
BTBD2	412	exon
BTBD3	2415	exon
BTBD6	1329	exon
BTBD7	358	exon
BTBD8	2067	exon
BTBD9	323	exon
BTD	274	exon
BTF3	3464	exon
BTF3L4	1880	exon
BTG1	1610	exon
BTG2	2353	exon
BTK	71	exon
BTLA	27	exon
BTRC	1811	exon
BUB1	22	exon
BUB1B	33	exon
BUB3	350	exon
BUD13	151	exon
BUD23	482	exon
BUD31	1336	exon
BVES	124	exon
